time,last_low,last_high,last_open,last_close,last_volume,current_open,target_close,period_return,target_trade,profit
1577098800,132.61,133.54,132.8,132.67,1425.9654158,132.63,132.94,0.002337329412651755,1,0.31041384754580637
1577102400,132.59,133.27,132.63,132.94,1570.45842761,132.96,132.95,-7.521058965116822e-05,0,-0.0
1577106000,132.72,133.13,132.96,132.95,304.22435156,132.96,132.92,-0.00030084235860424537,0,-0.0
1577109600,132.76,133.97,132.96,132.92,1337.30184117,132.92,133.19,0.0020312970207644466,1,0.270277901745421
1577113200,132.49,133.63,132.92,133.19,1673.05259769,133.18,133.37,0.001426640636732225,1,0.19008079065925587
1577116800,132.69,133.44,133.18,133.37,1342.1025064,133.35,131.7,-0.012373453318335252,-1,1.6279542182227278
1577120400,131.17,134.36,133.35,131.7,4323.28178618,131.7,129.36,-0.017767653758541953,-1,2.296125266514782
1577124000,128.3,131.96,131.7,129.36,9106.10424346,129.29,129.17,-0.000928146028308489,0,-0.0
1577127600,128.94,129.99,129.29,129.17,1626.54664993,129.17,129.08,-0.0006967562127427034,0,-0.0
1577131200,128.56,129.34,129.17,129.08,1053.75406646,129.0,128.89,-0.0008527131782946794,0,-0.0
1577134800,128.65,129.12,129.0,128.89,803.47569007,128.89,127.12,-0.013732640235859897,-1,1.7439475335557275
1577138400,126.16,128.89,128.89,127.12,8786.25595695,127.07,127.17,0.0007869678130165148,0,0.0
1577142000,126.17,127.39,127.07,127.17,1971.64432407,127.13,127.78,0.005112876583025294,1,0.6526700464091931
1577145600,127.01,128.47,127.13,127.78,2151.06311187,127.75,128.16,0.0032093933463796212,1,0.41090453542074024
1577149200,127.64,128.16,127.75,128.16,2343.21772615,128.15,127.63,-0.004057744830277099,-1,0.5173720827155778
1577152800,127.33,128.5,128.15,127.63,1190.06817027,127.7,128.01,0.0024275646045418017,1,0.31044179248236864
1577156400,127.59,128.02,127.7,128.01,579.46677065,128.02,127.58,-0.003436962974535322,-1,0.4380492485549251
1577160000,127.38,128.09,128.02,127.58,1738.48110684,127.58,127.88,0.0023514657469822634,1,0.30040473428436776
1577163600,127.49,128.05,127.58,127.88,738.43407268,127.86,128.19,0.0025809479117784944,1,0.3305208610980743
1577167200,127.71,128.22,127.86,128.19,1027.37731725,128.19,128.04,-0.001170138076293047,-1,0.14967465480927317
1577170800,127.89,128.19,128.19,128.04,490.30223889,128.04,126.94,-0.008591065292096176,-1,1.0894592783505097
1577174400,126.65,128.04,128.04,126.94,1195.00888362,126.94,127.9,0.007562628013234662,1,0.9662928627698205
1577178000,126.5,128.71,126.94,127.9,2127.13693688,127.96,128.32,0.0028133791809940565,1,0.3606518036886522
1577181600,127.84,128.46,127.96,128.32,760.92287037,128.32,128.44,0.0009351620947631278,0,0.0
1577185200,128.12,128.8,128.32,128.44,568.03105897,128.44,128.49,0.00038928682653387864,0,0.0
1577188800,128.19,128.52,128.44,128.49,519.87882058,128.5,128.17,-0.002568093385214105,-1,0.32882337665370887
1577192400,128.09,128.61,128.5,128.17,696.54085514,128.17,128.43,0.002028555824296008,1,0.26026689708982204
1577196000,128.14,128.7,128.17,128.43,2276.58594414,128.43,128.37,-0.0004671805652885017,0,-0.0
1577199600,128.25,129.5,128.43,128.37,1714.39859679,128.36,127.74,-0.004830165160486279,-1,0.6163882923029167
1577203200,127.09,128.5,128.36,127.74,1974.87348377,127.73,128.34,0.004775698739528688,1,0.6123002630548807
1577206800,126.76,128.39,127.73,128.34,1438.1199365,128.34,127.5,-0.0065451145395044675,-1,0.8336676016830328
1577210400,127.36,128.37,128.34,127.5,1787.05984694,127.46,127.26,-0.0015691197238348394,-1,0.19948648987916645
1577214000,126.92,127.8,127.46,127.26,2614.35070446,127.23,127.53,0.0023579344494222836,1,0.300406672954489
1577217600,127.01,128.2,127.23,127.53,3761.43254281,127.54,127.68,0.0010976948408342525,1,0.14001352360043964
1577221200,127.14,127.76,127.54,127.68,1312.97971378,127.68,127.93,0.001958020050125313,1,0.25023901550751876
1577224800,127.66,128.15,127.68,127.93,1481.03240911,127.91,127.77,-0.0010945195840825624,-1,0.13970692049097078
1577228400,127.29,127.92,127.91,127.77,1504.77243645,127.77,127.71,-0.0004695938013618398,0,-0.0
1577232000,127.39,128.09,127.77,127.71,1135.7817844,127.67,126.84,-0.006501135740581173,-1,0.8237794532779806
1577235600,126.82,127.77,127.67,126.84,843.00544213,126.83,126.24,-0.0046518962390601866,-1,0.586668125837739
1577239200,125.0,126.83,126.83,126.24,5207.10679269,126.25,125.77,-0.0038019801980198335,-1,0.47769687445544945
1577242800,125.58,126.25,126.25,125.77,755.53293614,125.76,125.7,-0.00047709923664123946,0,-0.0
1577246400,125.28,125.77,125.76,125.7,1193.95859156,125.7,126.26,0.004455051710421657,1,0.5619323341288806
1577250000,125.7,126.32,125.7,126.26,1201.1119851,126.25,125.83,-0.00332673267326734,-1,0.4181841695049522
1577253600,125.79,126.25,126.25,125.83,365.08277994,125.83,125.1,-0.00580147818485261,-1,0.7250391560041365
1577257200,124.57,125.83,125.83,125.1,3141.38605244,125.1,125.5,0.003197442046362955,1,0.4008776978417323
1577260800,124.61,125.82,125.1,125.5,2691.99536994,125.5,125.73,0.001832669322709195,1,0.23019109243028285
1577264400,125.43,125.86,125.5,125.73,623.92881131,125.74,125.34,-0.0031811674884682003,-1,0.3983288054715996
1577268000,125.15,125.76,125.74,125.34,295.97715086,125.31,124.47,-0.0067033756284414926,-1,0.8335347953076405
1577271600,123.82,125.41,125.31,124.47,3159.97844292,124.47,124.24,-0.0018478348196352854,-1,0.2293454229934964
1577275200,123.86,124.64,124.47,124.24,1507.79715392,124.24,124.32,0.0006439150032195613,0,0.0
1577278800,123.16,125.34,124.24,124.32,4626.90626651,124.33,124.2,-0.001045604439797277,-1,0.12973420735139898
1577282400,123.81,124.57,124.33,124.2,2665.03156381,124.16,124.16,0.0,0,0.0
1577286000,123.64,124.42,124.16,124.16,2880.87393535,124.15,124.28,0.0010471204188481308,1,0.13000598952879125
1577289600,123.63,124.5,124.15,124.28,960.78145248,124.29,123.97,-0.0025746238635449945,-1,0.3188569442433093
1577293200,123.35,124.69,124.29,123.97,2504.31301255,123.92,124.39,0.0037927695287282024,1,0.4713108190768226
1577296800,123.7,124.42,123.92,124.39,1247.15507869,124.36,124.64,0.002251527822450958,1,0.2803497973624971
1577300400,123.99,124.64,124.36,124.64,1244.07441359,124.63,125.33,0.005616625210623468,1,0.7032277060097918
1577304000,124.58,125.6,124.63,125.33,1526.56246926,125.33,125.51,0.0014362084097981874,1,0.18007825899625673
1577307600,125.33,125.83,125.33,125.51,3121.69426569,125.47,125.23,-0.0019128078425121136,-1,0.23930138519167418
1577311200,124.83,125.5,125.47,125.23,1522.75872598,125.2,125.28,0.000638977635782734,0,0.0
1577314800,124.88,125.58,125.2,125.28,1061.54138233,125.28,125.0,-0.002234993614303968,-1,0.27909482758620807
1577318400,124.67,125.28,125.28,125.0,769.02677697,125.0,124.61,-0.0031200000000000047,-1,0.3883944168000006
1577322000,124.57,125.3,125.0,124.61,818.9262778,124.63,124.78,0.0012035625451336412,1,0.15003035384739397
1577325600,124.5,124.87,124.63,124.78,311.48258501,124.78,125.1,0.0025645135438370987,1,0.320499823689687
1577329200,124.78,125.23,124.78,125.1,597.54703114,125.1,124.27,-0.006634692246203024,-1,0.8236687122302142
1577332800,124.17,125.1,125.1,124.27,1031.67871035,124.27,124.13,-0.001126579222660341,-1,0.1397024366299193
1577336400,124.12,124.69,124.27,124.13,633.44033482,124.12,124.27,0.001208507895584849,1,0.15003109490814487
1577340000,124.06,124.48,124.12,124.27,733.67525038,124.27,124.61,0.0027359781121751303,1,0.3405893023255848
1577343600,124.25,124.61,124.27,124.61,1479.72641902,124.61,124.53,-0.0006420030495144716,0,-0.0
1577347200,124.42,124.65,124.61,124.53,583.25199538,124.56,125.23,0.005378933847141954,1,0.6729302817919093
1577350800,124.56,125.72,124.56,125.23,3023.18773512,125.24,125.05,-0.0015170871925902086,-1,0.18952204167997216
1577354400,125.02,125.63,125.24,125.05,701.96437043,125.05,125.11,0.0004798080767693105,0,0.0
1577358000,124.95,125.2,125.05,125.11,645.83984482,125.11,124.88,-0.0018383822236432259,-1,0.22934759491647747
1577361600,124.68,125.11,125.11,124.88,456.41689758,124.86,125.17,0.002482780714400146,1,0.31045889235944485
1577365200,124.7,125.39,124.86,125.17,713.97458586,125.2,125.4,0.0015974440894568917,1,0.20011916932907634
1577368800,125.0,125.7,125.2,125.4,921.87125761,125.42,125.62,0.0015946420028703783,1,0.20011860947217633
1577372400,125.36,125.76,125.42,125.62,1285.44246866,125.62,125.93,0.0024677599108422405,1,0.310454240566791
1577376000,125.3,126.41,125.62,125.93,2697.05021279,125.94,128.03,0.01659520406542801,1,2.1225592925202514
1577379600,125.47,128.74,125.94,128.03,5827.49258366,128.03,128.66,0.0049207217058501555,1,0.6324669546200063
1577383200,127.78,128.78,128.03,128.66,2618.63806312,128.66,128.65,-7.772423441622031e-05,0,-0.0
1577386800,128.23,128.78,128.66,128.65,1870.69712485,128.66,128.81,0.0011658635162444093,1,0.1500247046479149
1577390400,127.8,132.06,128.66,128.81,8978.59433587,128.71,127.46,-0.009711755108383296,-1,1.2366224458084203
