time,last_low,last_high,last_open,last_close,last_volume,current_open,target_close,target_return,target_trade
1604188800,380.76,394.0,382.77,386.74,76755.21020838,386.72,396.91,0.026349813818783607,1
1604275200,385.09,397.65,386.72,396.91,49385.47176829,396.91,383.33,-0.03421430551006536,-1
1604361600,378.36,404.57,396.91,383.33,128275.51088227,383.33,388.32,0.013017504500039155,1
1604448000,370.5,390.35,383.33,388.32,105339.73002582,388.33,403.18,0.038240671593747645,1
1604534400,376.64,409.0,388.33,403.18,214751.18285099,403.19,417.17,0.034673479004935684,1
1604620800,396.43,421.25,403.19,417.17,248936.20591844,417.29,456.65,0.09432289295214348,1
1604707200,415.57,458.92,417.29,456.65,357787.28499666,456.69,435.73,-0.045895465195208957,-1
1604793600,423.0,468.98,456.69,435.73,297289.78479728,435.59,454.61,0.04366491425422998,1
1604880000,432.65,460.57,435.59,454.61,111199.12192081,454.61,444.81,-0.02155693891467414,-1
1604966400,433.83,460.0,454.61,444.81,171387.94473541,444.84,450.89,0.01360039564787342,1
1605052800,439.36,455.51,444.84,450.89,132863.6764641,450.89,463.79,0.028610082281709585,1
1605139200,449.95,476.8,450.89,463.79,195694.06578762,463.75,462.98,-0.0016603773584905268,-1
1605225600,452.07,470.56,463.75,462.98,180116.97555794,462.91,477.14,0.030740316692229507,1
1605312000,457.64,478.31,462.91,477.14,134796.05936368,477.15,461.16,-0.03351147437912596,-1
1605398400,452.17,478.0,477.15,461.16,114594.78378366,461.21,448.58,-0.027384488627740067,-1
1605484800,439.77,463.24,461.21,448.58,89217.75628557,448.6,460.85,0.027307177886758804,1
1605571200,445.91,466.21,448.6,460.85,112980.26100088,460.87,482.68,0.04732354026081108,1
1605657600,460.05,485.0,460.87,482.68,196041.73514216,482.75,478.96,-0.00785085447954432,-1
1605744000,456.5,495.68,482.75,478.96,296492.09128068,479.0,471.92,-0.014780793319415416,-1
1605830400,465.18,480.99,479.0,471.92,131594.48266392,471.92,510.43,0.08160281403627731,1
1605916800,471.07,514.73,471.92,510.43,296509.77452923,510.6,553.07,0.0831766549157854,1
1606003200,502.82,554.28,510.6,553.07,287728.12781004,553.06,560.82,0.014031027374968549,1
1606089600,511.16,581.8,553.06,560.82,403902.15612966,560.78,609.26,0.08645101465815475,1
1606176000,550.0,611.43,560.78,609.26,444789.07944749,609.26,605.45,-0.006253487837704667,-1
1606262400,587.25,623.22,609.26,605.45,387478.59472708,605.45,568.79,-0.060550004129160256,-1
1606348800,554.0,606.49,605.45,568.79,255508.1788265,569.19,520.34,-0.0858237144011666,-1
1606435200,480.08,577.0,569.19,520.34,614152.35686943,520.35,519.07,-0.002459882771211632,-1
1606521600,493.51,531.41,520.35,519.07,199205.09175665,519.04,538.11,0.03674090628853278,1
1606608000,505.01,548.83,519.04,538.11,166450.43752162,537.97,576.76,0.07210439243823998,1
1606694400,531.0,577.55,537.97,576.76,139940.81576302,576.9,617.0,0.06950944704454849,1
1606780800,571.11,617.0,576.9,617.0,313418.9868296,617.0,586.03,-0.050194489465154014,-1
1606867200,563.01,636.53,617.0,586.03,373179.79775575,585.87,597.35,0.019594790653216614,1
1606953600,575.08,604.96,585.87,597.35,136242.16440789,597.03,616.65,0.032862670217577016,1
1607040000,586.11,624.57,597.03,616.65,168346.30401374,616.46,567.6,-0.07925899490640108,-1
1607126400,566.0,620.56,616.46,567.6,195480.70629191,567.76,597.29,0.052011413273213986,1
1607212800,561.15,597.88,567.76,597.29,95956.77136123,597.29,601.95,0.007801905272145996,1
1607299200,583.31,607.46,597.29,601.95,101652.72670304,601.97,591.47,-0.01744272970413808,-1
1607385600,584.54,603.4,601.97,591.47,79196.58540342,591.53,554.79,-0.062110121211096665,-1
1607472000,548.12,595.47,591.53,554.79,173888.79056355,554.8,573.38,0.03348954578226396,1
1607558400,530.32,578.67,554.8,573.38,246145.836363,573.26,559.45,-0.024090290618567396,-1
1607644800,547.83,575.62,573.26,559.45,117320.21056794,559.33,544.23,-0.02699658520015022,-1
1607731200,535.5,560.62,559.33,544.23,173696.26025699,544.51,568.64,0.04431507226680868,1
1607817600,543.22,574.33,544.51,568.64,101618.14658727,568.64,590.75,0.038882245357343866,1
1607904000,563.79,595.21,568.64,590.75,105159.23425191,590.45,586.39,-0.006876111440426893,-1
1607990400,575.58,591.71,590.45,586.39,103488.31631148,586.4,589.08,0.00457025920873135,1
1608076800,579.15,597.04,586.4,589.08,95567.38638129,589.08,637.98,0.08301079649623137,1
1608163200,581.21,639.58,589.08,637.98,261818.28860235,637.91,643.37,0.008559201141226876,1
1608249600,626.79,677.05,637.91,643.37,430253.08270837,643.26,654.66,0.017722227404160025,1
1608336000,629.59,664.46,643.26,654.66,177136.01903836,654.66,658.96,0.006568294992820805,1
1608422400,646.54,672.06,654.66,658.96,186815.55508677,658.8,638.4,-0.030965391621129292,-1
1608508800,621.46,661.4,658.8,638.4,164504.33582055,638.19,608.07,-0.047195976119964275,-1
